Titulo,Ano,Duracao,Classificacao_Indicativa,Classificação_no_IMDb,Qtd_Avaliacoes,Direcao,Atores,Legenda,Prime_Video
Era uma Vez no Oeste,1968,2h 45m,14,"8,5",342 mil,Direção Sergio Leone,"Sergio Leone, Henry Fonda, Charles Bronson",Um misterioso estranhoe se junta com um bandido para proteger a uma viúva.,https://www.primevideo.com/detail/amzn1.dv.gti.b0b6c56f-c2ee-eb8f-5c5a-06bd98ae3596
Janela Indiscreta,1954,1h 52m,12,"8,5",510 mil,Direção Alfred Hitchcock,"Alfred Hitchcock, James Stewart, Grace Kelly",Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.,https://www.primevideo.com/detail/amzn1.dv.gti.54abfbe6-a8b8-a994-1436-7f34d3bf3ff2
Alien - O 8º Passageiro,1979,1h 57m,14,"8,5",922 mil,Direção Ridley Scott,"Ridley Scott, Sigourney Weaver, Tom Skerritt","Depois que um navio mercante do espaço percebe uma transmissão desconhecida como uma chamada de socorro, encontra um dos tripulantes atacado por um misterioso modo de vida, e logo percebem que seu ciclo de vida simplesmente começou.",Sem link Prime
Luzes da Cidade,1931,1h 27m,Livre,"8,5",192 mil,Direção Charles Chaplin,"Charles Chaplin, Charles Chaplin, Virginia Cherrill","Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.",Sem link Prime
Apocalypse Now,1979,2h 27m,16,"8,4",694 mil,Direção Francis Ford Coppola,"Francis Ford Coppola, Martin Sheen, Marlon Brando",Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.,https://www.primevideo.com/detail/amzn1.dv.gti.5ab8b3dc-abb8-1012-e81e-1c749b285d4d
Amnésia,2000,1h 53m,16,"8,4","1,3 mi",Direção Christopher Nolan,"Christopher Nolan, Guy Pearce, Carrie-Anne Moss",Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.,https://www.primevideo.com/detail/amzn1.dv.gti.c4b2488d-91aa-9226-22f1-a7598f147579
Django Livre,2012,2h 45m,16,"8,5","1,6 mi",Direção Quentin Tarantino,"Quentin Tarantino, Jamie Foxx, Christoph Waltz","Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi.",https://www.primevideo.com/detail/amzn1.dv.gti.8acd5ce6-8147-4ba2-ab97-de3dc802f0d1
Os Caçadores da Arca Perdida,1981,1h 55m,Livre,"8,4",1 mi,Direção Steven Spielberg,"Steven Spielberg, Harrison Ford, Karen Allen","Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro.",https://www.primevideo.com/detail/amzn1.dv.gti.c4ac5db8-3527-5bb9-cfd7-1b66fd896530
WALL·E,2008,1h 38m,Livre,"8,4","1,2 mi",Direção Andrew Stanton,"Andrew Stanton, Ben Burtt, Elissa Knight","Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.",Sem link Prime
A Vida dos Outros,2006,2h 17m,12,"8,4",402 mil,Direção Florian Henckel von Donnersmarck,"Florian Henckel von Donnersmarck, Ulrich Mühe, Martina Gedeck","Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.",Sem link Prime
Crepúsculo dos Deuses,1950,1h 50m,Livre,"8,4",231 mil,Direção Billy Wilder,"Billy Wilder, William Holden, Gloria Swanson",Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,https://www.primevideo.com/detail/amzn1.dv.gti.44b61f87-6775-edb6-57e6-76d89f699e10
Glória Feita de Sangue,1957,1h 28m,14,"8,4",207 mil,Direção Stanley Kubrick,"Stanley Kubrick, Kirk Douglas, Ralph Meeker","Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.",https://www.primevideo.com/detail/amzn1.dv.gti.a80c1692-54ff-40ed-894d-911dab063559
Vingadores: Guerra Infinita,2018,2h 29m,12,"8,4","1,2 mi",Direção Anthony RussoJoe Russo,"Anthony Russo, Joe Russo, Robert Downey Jr.",Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.,Sem link Prime
O Iluminado,1980,2h 26m,16,"8,4","1,1 mi",Direção Stanley Kubrick,"Stanley Kubrick, Jack Nicholson, Shelley Duvall","Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.",https://www.primevideo.com/detail/amzn1.dv.gti.2cb528b4-496c-8842-4252-678b1989080d
O Grande Ditador,1940,2h 5m,Livre,"8,4",233 mil,Direção Charles Chaplin,"Charles Chaplin, Charles Chaplin, Paulette Goddard",O ditador Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição do regime de Hynkel.,Sem link Prime
Testemunha de Acusação,1957,1h 56m,12,"8,4",133 mil,Direção Billy Wilder,"Billy Wilder, Tyrone Power, Marlene Dietrich",Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.,https://www.primevideo.com/detail/amzn1.dv.gti.6cb56443-29dc-d40b-38e8-95580076159f
Homem-Aranha: No Aranhaverso,2018,1h 57m,10,"8,4",634 mil,Direção Bob PersichettiPeter RamseyRodney Rothman,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Um jovem se torna o Homem Aranha de sua realidade, cruzando seu caminho com cinco colegas de outras dimensões para impedir uma ameaça a todas as realidades.",https://www.primevideo.com/detail/amzn1.dv.gti.1cb792e1-91a3-3326-9ce0-1b8ec73d6d5d
"Aliens, O Resgate",1986,2h 17m,14,"8,4",745 mil,Direção James Cameron,"James Cameron, Sigourney Weaver, Michael Biehn",Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.,Sem link Prime
Bastardos Inglórios,2009,2h 33m,18,"8,4","1,5 mi",Direção Quentin Tarantino,"Quentin Tarantino, Brad Pitt, Diane Kruger","Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.",https://www.primevideo.com/detail/amzn1.dv.gti.6cb8bacd-9be1-6011-ed4e-09c94cc25494
Batman: O Cavaleiro das Trevas Ressurge,2012,2h 44m,12,"8,4","1,8 mi",Direção Christopher Nolan,"Christopher Nolan, Christian Bale, Tom Hardy","Oito anos depois da anarquia do Coringa, Batman com ajuda da Mulher Gato, tentam salvar Gotham do terrorista Bane.",https://www.primevideo.com/detail/amzn1.dv.gti.4c4988ba-8c36-4b11-a44b-6ea809fc9f6a
Beleza Americana,1999,2h 2m,14,"8,3","1,2 mi",Direção Sam Mendes,"Sam Mendes, Kevin Spacey, Annette Bening",Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.,Sem link Prime
Dr Fantástico,1964,1h 35m,10,"8,4",508 mil,Direção Stanley Kubrick,"Stanley Kubrick, Peter Sellers, George C. Scott",Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,https://www.primevideo.com/detail/amzn1.dv.gti.58b4b9bc-2b5f-6bf3-9131-1e65b180bb95
Oldboy,2003,2h,16,"8,4",613 mil,Direção Park Chan-wook,"Park Chan-wook, Choi Min-sik, Yoo Ji-tae","Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.",https://www.imdb.com/showtimes/title/tt0364569/2023-10-14
Viva: A Vida é uma Festa,2017,1h 45m,Livre,"8,4",558 mil,Direção Lee UnkrichAdrian Molina,"Lee Unkrich, Adrian Molina, Anthony Gonzalez",Miguel entra na terra dos mortos para encontrar a seu bisavó quem era um lendário cantante.,Sem link Prime
Amadeus,1984,2h 40m,Livre,"8,4",418 mil,Direção Milos Forman,"Milos Forman, F. Murray Abraham, Tom Hulce","A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.",Sem link Prime
Toy Story,1995,1h 21m,Livre,"8,3",1 mi,Direção John Lasseter,"John Lasseter, Tom Hanks, Tim Allen",Um brinquedo do cauboi se sente profundamente ameaçado e celoso quando um brinquedo patrulheiro espacial passa a ter mais atençao do garoto.,Sem link Prime
O Barco: Inferno no Mar,1981,2h 29m,14,"8,4",259 mil,Direção Wolfgang Petersen,"Wolfgang Petersen, Jürgen Prochnow, Herbert Grönemeyer","O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.",https://www.primevideo.com/detail/amzn1.dv.gti.7cb52e23-0906-c06b-d087-5bb7a8e2fd8b
Coração Valente,1995,2h 58m,16,"8,3","1,1 mi",Direção Mel Gibson,"Mel Gibson, Mel Gibson, Sophie Marceau","Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.",Sem link Prime
Vingadores: Ultimato,2019,3h 1m,12,"8,4","1,2 mi",Direção Anthony RussoJoe Russo,"Anthony Russo, Joe Russo, Robert Downey Jr.","Após os eventos devastadores de Vingadores: Guerra Infinita , o universo está em ruínas, e com a ajuda de aliados os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.",Sem link Prime
Coringa,2019,2h 2m,16,"8,4","1,4 mi",Direção Todd Phillips,"Todd Phillips, Joaquin Phoenix, Robert De Niro",Um comediante falido enlouquece e se torna um assassino psicopata.,https://www.primevideo.com/detail/amzn1.dv.gti.18b9b187-a9bf-4617-b554-b43cf4e0a5f5
Princesa Mononoke,1997,2h 14m,12,"8,3",417 mil,Direção Hayao Miyazaki,"Hayao Miyazaki, Yôji Matsuda, Yuriko Ishida","Numa viagem para descobrir a cura contra a maldição de Tatarigami, Ashitaka, se encontra uma guerra entre os deuses da foresta e Tatara, uma colônia mineira.",Sem link Prime
Gênio Indomável,1997,2h 6m,14,"8,3",1 mi,Direção Gus Van Sant,"Gus Van Sant, Robin Williams, Matt Damon","Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.",Sem link Prime
Era uma Vez na América,1984,3h 49m,18,"8,3",368 mil,Direção Sergio Leone,"Sergio Leone, Robert De Niro, James Woods",Um ex criminal judeu da época da proibição volta a Manhattan onde deberá confrontar seu pasado.,https://www.primevideo.com/detail/amzn1.dv.gti.8aaf899a-47c5-e749-2d27-9d64404a0922
Your Name,2016,1h 46m,Livre,"8,4",301 mil,Direção Makoto Shinkai,"Makoto Shinkai, Ryunosuke Kamiki, Mone Kamishiraishi","Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?",https://www.primevideo.com/detail/amzn1.dv.gti.5c1be147-de3f-4d24-a618-75a9e6953467
3 Idiotas,2009,2h 50m,12,"8,4",420 mil,Direção Rajkumar Hirani,"Rajkumar Hirani, Aamir Khan, Madhavan","Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.",Sem link Prime
Céu E Inferno,1963,2h 23m,Not Rated,"8,4",50 mil,Direção Akira Kurosawa,"Akira Kurosawa, Toshirô Mifune, Yutaka Sada",Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,Sem link Prime
Cantando na Chuva,1952,1h 43m,Livre,"8,3",254 mil,Direção Stanley DonenGene Kelly,"Stanley Donen, Gene Kelly, Gene Kelly",Uma produtora de cinema e elenco fazem uma transição difíci.,https://www.primevideo.com/detail/amzn1.dv.gti.4cb551dd-6e27-eb74-62bf-3098be39a0d3
Cafarnaum,2018,2h 6m,16,"8,4",100 mil,Direção Nadine Labaki,"Nadine Labaki, Zain Al Rafeea, Yordanos Shiferaw","Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.",https://www.primevideo.com/detail/amzn1.dv.gti.2aba6dce-54c9-2fee-add0-a1e2ec96bcf9
Réquiem para um Sonho,2000,1h 42m,18,"8,3",877 mil,Direção Darren Aronofsky,"Darren Aronofsky, Ellen Burstyn, Jared Leto",As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.,https://www.primevideo.com/detail/amzn1.dv.gti.52b601e2-1907-b62c-3c01-9cc1b018ae2b
Toy Story 3,2010,1h 43m,Livre,"8,3",872 mil,Direção Lee Unkrich,"Lee Unkrich, Tom Hanks, Tim Allen","Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.",Sem link Prime
Vá e Veja,1985,2h 22m,18,"8,4",91 mil,Direção Elem Klimov,"Elem Klimov, Aleksey Kravchenko, Olga Mironova","Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.",Sem link Prime
"Star Wars, Episódio VI: O Retorno do Jedi",1983,2h 11m,Livre,"8,3","1,1 mi",Direção Richard Marquand,"Richard Marquand, Mark Hamill, Harrison Ford","Depois de uma missão ousada para resgatar Han Solo da cabana de Jabba, os rebeldes partem para fazer Endor destruir a mais poderosa Estrela da Morte. Enquanto isso, Luke tenta trazer Darth Vader de volta do lado negro, sem cair na armadilha do Imperador.",Sem link Prime
Brilho Eterno de uma Mente sem Lembranças,2004,1h 48m,14,"8,3",1 mi,Direção Michel Gondry,"Michel Gondry, Jim Carrey, Kate Winslet","Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.",https://www.primevideo.com/detail/amzn1.dv.gti.26bb4b1c-da6c-58d1-5389-d51db774ba2b
2001: Uma Odisséia no Espaço,1968,2h 29m,Livre,"8,3",700 mil,Direção Stanley Kubrick,"Stanley Kubrick, Keir Dullea, Gary Lockwood","Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.",https://www.primevideo.com/detail/amzn1.dv.gti.5319ae23-9e68-462c-bfba-2dfe800fabf6
A Caça,2012,1h 55m,14,"8,3",351 mil,Direção Thomas Vinterberg,"Thomas Vinterberg, Mads Mikkelsen, Thomas Bo Larsen","Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.",https://www.primevideo.com/detail/amzn1.dv.gti.c8b79a3e-180f-a3f1-bb07-5393205c41d3
Cães de Aluguel,1992,1h 39m,18,"8,3","1,1 mi",Direção Quentin Tarantino,"Quentin Tarantino, Harvey Keitel, Tim Roth","Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.",https://www.primevideo.com/detail/amzn1.dv.gti.54b4e071-ecbe-f55d-1872-c48498dd15de
Viver,1952,2h 23m,Not Rated,"8,3",84 mil,Direção Akira Kurosawa,"Akira Kurosawa, Takashi Shimura, Nobuo Kaneko","Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.",Sem link Prime
Lawrence da Arábia,1962,3h 38m,14,"8,3",306 mil,Direção David Lean,"David Lean, Peter O'Toole, Alec Guinness","A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.",https://www.primevideo.com/detail/amzn1.dv.gti.e8b53a55-f91c-15a4-4f05-49e2c0e8a5dc
Cidadão Kane,1941,1h 59m,Livre,"8,3",457 mil,Direção Orson Welles,"Orson Welles, Orson Welles, Joseph Cotten","Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.",https://www.primevideo.com/detail/amzn1.dv.gti.14b8208d-9f6f-37b6-1ec5-2aa4c58a6ac0
"M, o Vampiro de Dusseldorf",1931,1h 57m,12,"8,3",165 mil,Direção Fritz Lang,"Fritz Lang, Peter Lorre, Ellen Widmann","Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.",Sem link Prime
Se Meu Apartamento Falasse,1960,2h 5m,Livre,"8,3",191 mil,Direção Billy Wilder,"Billy Wilder, Jack Lemmon, Shirley MacLaine","Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.",https://www.primevideo.com/detail/amzn1.dv.gti.f0b63481-8242-c614-3962-a8d14c8d6108
Intriga Internacional,1959,2h 16m,14,"8,3",339 mil,Direção Alfred Hitchcock,"Alfred Hitchcock, Cary Grant, Eva Marie Saint",Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.,https://www.primevideo.com/detail/amzn1.dv.gti.9d211e71-576d-41a7-99ca-5af841166f26
Um Corpo que Cai,1958,2h 8m,14,"8,3",418 mil,Direção Alfred Hitchcock,"Alfred Hitchcock, James Stewart, Kim Novak",Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.,Sem link Prime
Pacto de Sangue,1944,1h 47m,14,"8,3",164 mil,Direção Billy Wilder,"Billy Wilder, Fred MacMurray, Barbara Stanwyck","Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.",Sem link Prime
O Fabuloso Destino de Amélie Poulain,2001,2h 2m,14,"8,3",780 mil,Direção Jean-Pierre Jeunet,"Jean-Pierre Jeunet, Audrey Tautou, Mathieu Kassovitz","Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.",https://www.primevideo.com/detail/amzn1.dv.gti.3cbc2394-367f-baf7-c966-f5087f01bc0e
Scarface,1983,2h 50m,18,"8,3",888 mil,Direção Brian De Palma,"Brian De Palma, Al Pacino, Michelle Pfeiffer","Em Miamo em 1980, um imigrante cubano toma o control dum cartel de drogas.",https://www.primevideo.com/detail/amzn1.dv.gti.73f61125-d1ca-4887-8a94-addf0fd18074
Nascido para Matar,1987,1h 56m,16,"8,3",772 mil,Direção Stanley Kubrick,"Stanley Kubrick, Matthew Modine, R. Lee Ermey",Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.,https://www.primevideo.com/detail/amzn1.dv.gti.34b54975-57a0-756c-df2b-abff76d7794f
Laranja Mecânica,1971,2h 16m,(Banned),"8,3",862 mil,Direção Stanley Kubrick,"Stanley Kubrick, Malcolm McDowell, Patrick Magee","No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.",https://www.primevideo.com/detail/amzn1.dv.gti.54b4e51d-76b7-1073-7c7d-67257e6c09b4
Incêndios,2010,2h 11m,14,"8,3",190 mil,Direção Denis Villeneuve,"Denis Villeneuve, Lubna Azabal, Mélissa Désormeaux-Poulin",Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.,Sem link Prime
Fogo Contra Fogo,1995,2h 50m,14,"8,3",696 mil,Direção Michael Mann,"Michael Mann, Al Pacino, Robert De Niro",Um grupo de profissionais roubando bancos sospeitam que a polícia está tráis deles quando deixam uma pista no seu último roubo.,https://www.primevideo.com/detail/amzn1.dv.gti.36b91428-fc15-5c83-9c35-8eed12920eb2
Up: Altas Aventuras,2009,1h 36m,Livre,"8,3","1,1 mi",Direção Pete DocterBob Peterson,"Pete Docter, Bob Peterson, Edward Asner","Carl Fredricksen, de 78 anos, viaja a Paraside Falls com sua casa e inadvertidamente leva um menino com ele.",Sem link Prime
Hamilton,2020,2h 40m,12,"8,3",107 mil,Direção Thomas Kail,"Thomas Kail, Lin-Manuel Miranda, Phillipa Soo","A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.",Sem link Prime
O Sol é para Todos,1962,2h 9m,12,"8,3",327 mil,Direção Robert Mulligan,"Robert Mulligan, Gregory Peck, John Megna","Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.",https://www.primevideo.com/detail/amzn1.dv.gti.520b9d3c-60d1-4b97-bb03-e8c9608dc90d
Golpe de Mestre,1973,2h 9m,18,"8,3",273 mil,Direção George Roy Hill,"George Roy Hill, Paul Newman, Robert Redford",Dois golpistas se reúnem para obter o melhor golpe.,https://www.primevideo.com/detail/amzn1.dv.gti.d6b528b4-1470-114e-5181-b73afabdcba2
A Separação,2011,2h 3m,12,"8,3",253 mil,Direção Asghar Farhadi,"Asghar Farhadi, Payman Maadi, Leila Hatami","Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.",Sem link Prime
Indiana Jones e a Última Cruzada,1989,2h 7m,Livre,"8,2",794 mil,Direção Steven Spielberg,"Steven Spielberg, Harrison Ford, Sean Connery","Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler.",https://www.primevideo.com/detail/amzn1.dv.gti.1aac5c4b-b9f8-0b67-9d48-86504202cc4e
Metrópolis,1927,2h 33m,Livre,"8,3",181 mil,Direção Fritz Lang,"Fritz Lang, Brigitte Helm, Alfred Abel","Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.",Sem link Prime
Duro de Matar,1988,2h 12m,14,"8,2",915 mil,Direção John McTiernan,"John McTiernan, Bruce Willis, Alan Rickman","John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.",Sem link Prime
Como Estrelas na Terra,2007,2h 45m,Livre,"8,3",202 mil,Direção Aamir KhanAmole Gupte,"Aamir Khan, Amole Gupte, Darsheel Safary","Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.",Sem link Prime
Snatch: Porcos e Diamantes,2000,1h 44m,16,"8,2",889 mil,Direção Guy Ritchie,"Guy Ritchie, Jason Statham, Brad Pitt",Segue a luta de criminais tráis um diamante como nenhum outro nu mundo.,https://www.primevideo.com/detail/amzn1.dv.gti.2c89f4c1-42a3-4aad-9e99-527924ba466d
Ladrões de Bicicletas,1948,1h 29m,10,"8,3",171 mil,Direção Vittorio De Sica,"Vittorio De Sica, Lamberto Maggiorani, Enzo Staiola",Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.,https://www.primevideo.com/detail/amzn1.dv.gti.d53107ad-1c90-44c3-b62e-fe65d5fa34e7
Los Angeles: Cidade Proibida,1997,2h 18m,18,"8,2",603 mil,Direção Curtis Hanson,"Curtis Hanson, Kevin Spacey, Russell Crowe",A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.,https://www.primevideo.com/detail/amzn1.dv.gti.2cf641f1-10f9-4141-a7e5-31e08d1e9873
Taxi Driver: Motorista de Táxi,1976,1h 54m,14,"8,2",889 mil,Direção Martin Scorsese,"Martin Scorsese, Robert De Niro, Jodie Foster","Um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de Nova Iorque, onde a decadência e o desprezo alimentam seu desejo de ação violenta.",https://www.primevideo.com/detail/amzn1.dv.gti.083adbf0-299a-4597-8ad5-005868e4573d
1917,2019,1h 59m,14,"8,2",645 mil,Direção Sam Mendes,"Sam Mendes, Dean-Charles Chapman, George MacKay",Trama desconhecida. O filme será de 1917 durante a primeira guerra mundial.,https://www.primevideo.com/detail/amzn1.dv.gti.70b8bace-bc58-4127-0b58-686c1b131d93
A Queda! As Últimas Horas de Hitler,2004,2h 36m,16,"8,2",368 mil,Direção Oliver Hirschbiegel,"Oliver Hirschbiegel, Bruno Ganz, Alexandra Maria Lara",O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.,Sem link Prime
Dangal,2016,2h 41m,10,"8,3",203 mil,Direção Nitesh Tiwari,"Nitesh Tiwari, Aamir Khan, Sakshi Tanwar",O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.,Sem link Prime
Por uns Dólares a Mais,1965,2h 12m,12,"8,2",268 mil,Direção Sergio Leone,"Sergio Leone, Clint Eastwood, Lee Van Cleef",Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.,https://www.primevideo.com/detail/amzn1.dv.gti.d2b49211-7398-3e27-bda3-00fddf3773a2
Top Gun: Maverick,2022,2h 10m,12,"8,3",635 mil,Direção Joseph Kosinski,"Joseph Kosinski, Tom Cruise, Jennifer Connelly","Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.",https://www.primevideo.com/detail/amzn1.dv.gti.e6867686-3989-4e51-ad7b-19ff5edea2f4
Batman Begins,2005,2h 20m,10,"8,2","1,5 mi",Direção Christopher Nolan,"Christopher Nolan, Christian Bale, Michael Caine","Depois do treinamento, Batman comença a luta contra o crime e corrupçao en Gotham.",https://www.primevideo.com/detail/amzn1.dv.gti.aab1c577-c7ae-ce08-d710-b40da23204f3
Quanto Mais Quente Melhor,1959,2h 1m,Livre,"8,2",278 mil,Direção Billy Wilder,"Billy Wilder, Marilyn Monroe, Tony Curtis","Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.",https://www.primevideo.com/detail/amzn1.dv.gti.00b6065c-a27a-9721-f4ca-3ecd886774a2
O Garoto,1921,1h 8m,Livre,"8,2",132 mil,Direção Charles Chaplin,"Charles Chaplin, Charles Chaplin, Edna Purviance","Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.",Sem link Prime
O Lobo de Wall Street,2013,3h,18,"8,2","1,5 mi",Direção Martin Scorsese,"Martin Scorsese, Leonardo DiCaprio, Jonah Hill","Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.",https://www.primevideo.com/detail/amzn1.dv.gti.f8b322de-4a2f-fc01-4268-dda7e766ef3a
Meu Pai,2020,1h 37m,12,"8,2",179 mil,Direção Florian Zeller,"Florian Zeller, Anthony Hopkins, Olivia Colman","Um homem recusa toda a ajuda de sua filha à medida que envelhece. Ao tentar entender as mudanças nas circunstâncias, ele começa a duvidar dos seus entes queridos, da sua própria mente e até mesmo da estrutura de sua realidade.",https://www.primevideo.com/detail/amzn1.dv.gti.14e497f6-ae0f-4efc-9deb-9ec484393dc0
Green Book: O Guia,2018,2h 10m,12,"8,2",538 mil,Direção Peter Farrelly,"Peter Farrelly, Viggo Mortensen, Mahershala Ali",Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.,https://www.primevideo.com/detail/amzn1.dv.gti.ccb4f288-db87-8cdd-08f9-24c2abf85c62
A Malvada,1950,2h 18m,Livre,"8,2",136 mil,Direção Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Bette Davis, Anne Baxter","Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.",Sem link Prime
